original,disfluent,generated_text
What did Article 20 of the Allied Armistice terms require Germany to withdraw from?,What did Article 20 of the Allied Armistice terms require Warsaw no Germany to withdraw from?,What did Article 20 of the Allied Armistice terms require Germany to withdraw from?
What does the name The Rhine come from? ,"Where, sorry, what does the name The Rhine come from?",What does the name The Rhine come from?
What government department did Buyantu shut down?,What government department did Li Meng no Buyantu shut down?,What government department did Buyantu shut down?
Was this concept originally intended to be an application only meant for use by the military?,What was the goal of the system no sorry I want to know if this concept was originally intended to be an application only meant for use by the military?,Was this concept originally intended to be an application only meant for use by the military?
Who identified gravity as a force?,What rather who identified gravity as a force?,Who identified gravity as a force?
What is the Domesday Book about?,What is the plague no the Domesday Book about?,What is the Domesday Book about?
 When was the British East India Company unestablished?,When was Queen Elizabeth no the British East India Company unestablished?,When was the British East India Company unestablished?
What does connectionless-oriented transmission require?,When is no What does connectionless-oriented transmission require?,What does connectionless-oriented transmission require?
The conceptual definition of pushes and pulls are offered by what?,What is offered by the metaphysical or rather conceptual definition of pushes and pulls?,What is offered by the conceptual definition of pushes and pulls?
What is the name of one algorithm useful for conveniently testing the primality of large numbers? ,answer n/a,What are the two main theories of capitalism?
Where did Korea border Kublai's territory?,Where did Korea border the Song dynasty no sorry Kublai's territory?, Where did Korea border Kublai's territory?
What is the name of another type of modern primality test?,Which no what is the name of another type of modern primality test?,What is the name of another type of modern primality test?
How were TRANSPAC and TYMNET modified?,How were DATAPAC no no um TRANSPAC and TYMNET modified?,How were TRANSPAC and TYMNET modified?
How many bodies of water make up the Obersee?,How many bodies of water make up Lake Constance no rather the Obersee?,How many bodies of water make up the Obersee?
What causes the innate response to be disarmed?,Who causes What causes the innate response to be disarmed?,What causes the innate response to be disarmed?
Residential construction can generate what is not carefully planned?,Residential construction can cost or uh generate what is not carefully planned?,Residential construction generates what is not carefully planned?
When did the term imperialism first come to be used by its current definition?,What was instead when did the term imperialism first come to be used by its current definition?,When did the term imperialism first come to be used by its current definition?
What department in the U.S. spearheaded the efforts against Islamism? ,What effort or sorry department in the U.S. spearheaded the efforts against Islamism?,What department in the U.S. spearheaded the efforts against Islamism?
What is the name of the current King of Thebes in the play?,"In the play Antigone, what is the brother or instead tell me what is the name of the current King of Thebes in the play?",What is the name of the current King of Thebes in the play?
"In a progressive tax, what increases as the taxable base amount increases?","In a progressive tax, where or rather what increases alongside the taxable base?","In a progressive tax, what increases alongside the taxable base?"
What does Frame Relay's LAPB provide?,"What were, uh actually, what does Frame Relay's LAPB provide?",What does Frame Relay's LAPB provide?
"In many countries, what kind of pay gap isn't there?","In many countries, which kind or no make that what kind of pay gap isn't there?","In many countries, what kind of pay gap isn't there?"
Who rejected the path of violence?,"Who promoted,uh instead rejected the path of violence?",Who rejected the path of violence?
What makes the method of trial division more efficient?,How many or wait what makes the method of trial division more efficient?,What makes the method of trial division more efficient?
What changes the way a mineral is deposited?,What changes the way a rock no a mineral is deposited?,What changes the way a mineral is deposited?
What kind of behavior are cilia participating in when they reverse direction with their flagella?,What direction or no what kind of behavior are cilia participating in when they reverse direction with their flagella?,What kind of behavior are cilia participating in when they reverse direction with their flagella?
The planet Vulcan was predicted to explain the what with planet Saturn?,The planet Vulcan was predicted to explain the what with planet Mercury no Saturn?,The planet Vulcan was predicted to explain the what with planet Saturn?
In what other way can disobedience be applied to international organizations and governments?,In what other way can disobedience be applied to international unions no rather organizations and governments?,In what other way can disobedience be applied to international organizations and governments?
What year is the oldest pharmacy said to have been lost?,What sorts tell me instead what year is the oldest pharmacy said to have been lost?,What year is the oldest pharmacy said to have been lost?
"Who wrote the paper that the ""Millennial Northern Hemisphere temperature reconstruction"" graph was based on?","Who published no sorry wrote the paper that the \""Millennial Northern Hemisphere temperature reconstruction\"" graph was based on?","Who wrote the paper that the ""Millennial Northern Hemisphere temperature reconstruction"" graph was based on?"
When did Millerton residents move out of Fresno?,How oh sorry when did Millerton residents move out of Fresno?,When did Millerton residents move out of Fresno?
The words There shall be a Scottish Parliament is inscribed around the foot of the what?,What is inlaid  no The words There shall be a Scottish Parliament is inscribed around the foot of the what?,The words There shall be a Scottish Parliament is inscribed around the foot of the what?
What is one straightforward case of a Carmichael test?,How is or no make that what is one straightforward case of a Carmichael test?,What is one straightforward case of a Carmichael test?
The creation of topographic gradients causes what?,The creation of volcano no um topographic gradients causes what?,The creation of topographic gradients causes what?
What is the time when members can ask questions to only particular members of Scottiish Government?,When is or make that what is the time when members can ask questions to only particular members of Scottish government?,What is the time when members can ask questions to only particular members of Scottish Government?
What does not constitute as civil disobedience?,What constitutes as civil disobedience or rather what does not constitute as civil disobedience?,What does not constitute as civil disobedience?
What keeps the theory of transform boundaries going?,What is the area called where one plate no no keeps the theory of transform boundaries going?,What keeps the theory of transform boundaries going?
 Who weren't exempt from the Ministry of Justice?,"Who weren't exempt from the Ministry of War, no, Justice?",Who weren't exempt from the Ministry of Justice?
What was Tugh's Chinese-style name?,What was Phags-pa erm Tugh's Chinese-style name?,What was Tugh's Chinese-style name?
Has there ever been anyone charged with importing drugs from Canada for personal medicinal use?,Has there ever been anyone charged with importing drugs from the U.S. or make that from Canada for personal medical use?,Has there ever been anyone charged with importing drugs from Canada for personal medicinal use?
What famous Indian's actions were considered civil disobedience?,What famous Austrian wait no Indian's actions were considered civil disobedience?,What famous Indian's actions were considered civil disobedience?
In whose diagram is each matter particle represented as a curved line?,In whose diagram is each matter particle represented as a straight line sorry I mean curved line?,In whose diagram is each matter particle represented as a curved line?
What do current ctenophores have that fossils found did not have?,What do molecular phylogenetics wait sorry no current ctenophores have that fossils found did not have?,What do current ctenophores have that fossils found did not have?
How many lakes are there in Czerniakow?,How many lakes are there in Warsaw or no make that in Czerniakow?,How many lakes are there in Czerniakow?
What is the highest reference hospital in all of Poland?,Which is the or no make that what is the highest reference hospital in all of Poland?,What is the highest reference hospital in all of Poland?
What was the Yuan's paper money called?,the Yuan's paper money was called what?,What was the Yuan's paper money called?
What do coastal beroids not have that other ctenophora have?,How much  no What do coastal beroids not have that other ctenophora have?,What do coastal beroids not have that other ctenophora have?
The Pleistocene epoch takes place during which period?,The Pleistocene epoch takes place when?,The Pleistocene epoch takes place when?
What were the northern Alps flooded by?,the northern Alps were flooded when ah I mean by what?,The northern Alps were flooded by what?
When did the South American French and Indian War end?,Why did er when did the South American French and Indian War end?,When did the South American French and Indian War end?
How did the Islamic Group's campaign to support the government turn out?,Where no How did the Islamic Group's campaign to support the government turn out?,How did the Islamic Group's campaign to support the government turn out?
Who is known for inventing the first elementary charge calculator?,Who is known for inventing the speed of light no the first elementary charge calculator?,Who is known for inventing the first elementary charge calculator?
What percentage of the student body was affected by grade inflation in 2004?,What are the top no just percentage of the student body was affected by grade inflation in 2004?,What percentage of the student body was affected by grade inflation in 2004?
What college was founded during World War II?,"In what year, actually I want to know, what college was founded during World War II?",What college was founded during World War II?
What is the immune system of the stomach known as?,"What is the immune system of the brain, sorry the stomach known as?",What is the immune system of the stomach known as?
What type of motivators are achievement and outside determination considered?,What type of opportunities or like motivators are achievement and outside determination considered?,What type of motivators are achievement and outside determination considered?
When was ambulatory care pharmacy approved as its own certification?,When was pharmacy no ambulatory care pharmacy approved as its own certification?,When was ambulatory care pharmacy approved as its own certification?
 Friedrich Ratzel thought imperialism was not what for the country?,Friedrich Ratzel thought states no um imperialism was not what for the country?, Friedrich Ratzel thought imperialism was not what for the country?
What are biogeochemical pathways?,What are typical geological investigations no um biogeochemical pathways?,What are biogeochemical pathways?
What mathematician was also apart of the university's faculty?,Which no make that What mathematician was also apart of the university's faculty?,What mathematician was also apart of the university's faculty?
 What aspect of Western medicine did the Chinese like?,What aspect of Western medicine did the Avicenna's no Chinese like?, What aspect of Western medicine did the Chinese like?
Germany doesn't have an imperialistic past until when?,Germany doesn't have an colonial acquisition past until when no an imperialistic past?,Germany doesn't have an imperialistic past until when?
How much of a loss did Forbes suffer in 2008?,What amount er how much of a loss did Forbes suffer in 2008?,How much of a loss did Forbes suffer in 2008?
Which two compounds did Al-Muwaffaq combine?,Which two compounds did al-Zahrawi no no um I meant Al-Muwaffaq combine?,Which two compounds did Al-Muwaffaq combine?
What has a smaller impact on the United States' economy more than trade?,Who has a smaller no make that what has a smaller impact on the United States' economy more than trade?,What has a smaller impact on the United States' economy more than trade?
What has water that is a lighter color than the Rhine?,Which has i mean What has water that is a lighter color than the Rhine?,What has water that is a lighter color than the Rhine?
How did William Shirley feel about English advancement?,How did London no um William Shirley feel about English advancement?,How did William Shirley feel about English advancement?
When did Tugh Temur die?,When did Rinchinbal I mean Tugh Temur die?,When did Tugh Temur die
What is considered as a potential advantage for wealth for some Americans?,What publication or uh what is considered as a potential advantage for wealth for some Americans?,What is considered as a potential advantage for wealth for some Americans?
How many points of presence did NSFBNS have by 1998?,Who created erm how many points of presence did NSFBNS have by 1998?,How many points of presence did NSFBNS have by 1998?
Who unified the force responsible for atoms falling at the surface of the Earth?,Who unified the fundamental theories responsible for atoms falling at the surface of the Earth sorry force?,Who unified the force responsible for atoms falling at the surface of the Earth?
Civil Disobedience is mainly performed by what population group?,How many or uh civil Disobedience is mainly performed by what population group?,Civil Disobedience is mainly performed by what population group?
How many Muslim empires have used imperialism?,"How many Aztec empires, um oh I mean Muslim empires have used imperialism?",How many Muslim empires have used imperialism?
What molecules of the adaptive immune system only exist in jawed vertebrates?,What evolved er what molecules of the adaptive immune system only exist in jawed vertebrates?,What molecules of the adaptive immune system only exist in jawed vertebrates?
What is the Bielany Forest the last remnant of?,What is the Masovian Primeval Forest no no the Bielany Forest the last remnant of?,What is the Bielany Forest the last remnant of?
What prompted advanced research and education in networking?,"What prompted advanced research and education in science, no in networking?",What prompted advanced research and education in networking?
The weak force only acts on which particles?,"The strong, sorry, weak force only acts on which particles?",The weak force only acts on which particles?
What is blamed for causing the sharp drop in fish catches in the Black Sea and the Sea of Azov?,How was no What is blamed for causing the sharp drop in fish catches in the Black Sea and the Sea of Azov?,What is blamed for causing the sharp drop in fish catches in the Black Sea and the Sea of Azov?
What area of Brookhaven is still known for its high levels of crime?,What part or rather area of Brookhaven is still known for its high levels of crime?,What area of Brookhaven is still known for its high levels of crime?
Where does the Rhine encounter it's tributary the Neckar? ,Where does the Rhine encounter it's tributary the Moselle no that should be Neckar?,Where does the Rhine encounter it's tributary the Neckar?
Why did Radcliffe College students stop residing at Sever Hall?,When did Why did Radcliffe College students stop residing at Sever Hall?,Why did Radcliffe College students stop residing at Sever Hall?
Any number larger than 1 can be represented as a product of what?,"Any number larger than 1 can be represented as a factor, I mean, product of what?",Any number larger than 1 can be represented as a product of what?
When was the Last Glacial Maximum?,When was tell me about the source of the Rhine I mean the Last Glacial Maximum?,When was the Last Glacial Maximum?
 When did the Democratic Republic of Iraq collapse?,When did the Soviet Union no no um Democratic Republic of Iraq collapse?,When did the Democratic Republic of Iraq collapse?
"In Galileo's view, the terrestrial sphere contained how many elements?","In Aristotle's view, the terrestrial sphere contained how many elements, no Galileo's view?","In Galileo's view, the terrestrial sphere contained how many elements?"
What year was North America's first printing press started?,What year was Harvard uh no wait North America's first printing press started?,What year was North America's first printing press started?
What is the name of the Latin translation of Dioscorides' book?,What is Pedanius Dioscorides known for no not that I want to know what is the name of the Latin translation of Dioscorides' book?,What is the name of the Latin translation of Dioscorides' book?
When did Centrum serve as President?,"When did Jan Andrzej Menich, sorry make that Centrum, and when did he serve as President?",When did Centrum serve as President?
What did Baran develop during research at RAND ,What did Baran develop during research at the US Air Force er sorry RAND?,What did Baran develop during research at RAND?
What are private secondary schools in Germany called?,What are religious groups offered what are private secondary schools in Germany called?,What are private secondary schools in Germany called?
What is colonialism's core meaning?,What is post colonialism no just colonialism's core meaning?,What is colonialism's core meaning?
When do banks believe civil disobedience is justified?,How do or no rather when do banks believe civil disobedience is justified?,When do banks believe civil disobedience is justified?
How does the Aboral move?,How does the cestids move no Aboral?,How does the Aboral move?
What forest is by Warsaw's southern border?,What city is by Warsaw no sorry I mean what forest is by it's southern border?,What forest is by Warsaw's southern border?
What lake connects the Rhine to Lake Constance? ,What lake creates no connects the Rhine to Lake Constance?,What lake connects the Rhine to Lake Constance?
What temperature fever does one have suffering from pneumonic plague?,What do painful aching joints or sorry what temperature fever does one have suffering from pneumonic plague?,What temperature fever does one have suffering from pneumonic plague?
Who is known for working on portfolio capture theory?,Who was responsible for the ancient interpretation of organizational decision making no sorry who is known for working on portfolio capture theory?,Who is known for working on portfolio capture theory?
What is the largest suspension bridge in Germany?,How wide oh um what is the largest suspension bridge in Germany?,What is the largest suspension bridge in Germany?
"After 1945, what challenged the French empire?","After 1962, what challenged the French empire no 1945?","After 1945, what challenged the French empire?"
What is tuition for 2012 - 13 year at Harvard? ,What is tuition for 2009 sorry 2012 - 13 year at Harvard?,What is tuition for 2012 - 13 year at Harvard?
What are two examples of cytotoxic or immunosuppressive drugs?,What are two examples of glucocorticoids no cytotoxic or immunosuppressive drugs?,What are two examples of cytotoxic or immunosuppressive drugs?
" The Ottoman empire controlled territory on four continents, Africa, Asia and which other?","The Turkish or rather Ottoman empire controlled territory on four continents Africa, Asia and which other?"," The Ottoman empire controlled territory on four continents Africa, Asia and which other?"
What is a mechanism that can help plants block virus replication?,"What is a, no actually how about, what is a mechanism that can help plants block virus replication?",What is a mechanism that can help plants block virus replication?
 The Asante and Lunda Empires were not in which region?,The Asante and Lunda Empires featured ah no they were not in which region?,The Asante and Lunda Empires were not in which region?
Who was the first president of the University of Chicago?,Who was the first person to donate no to be president of the University of Chicago?,Who was the first president of the University of Chicago?
How many Medieval Warm Period reconstructions were used?,How many Medieval Warm Period reconstructions covered 1000+ years er were used?,How many Medieval Warm Period reconstructions were used?
What type of garden does Roeding Park have?,Which type What type of garden does Roeding Park have?,What type of garden does Roeding Park have?
What is one reason a patient might choose an internet pharmacy?,What are no sorry what is one reason a patient might choose an internet pharmacy?,What is one reason a patient might choose an internet pharmacy?
 How did the final Song emperor begin?,How did the final Mongol er instead Song emperor begin?,How did the final Song emperor begin?
Who lives no longer on average than Greeks and New Zealanders?,Who lives no longer on average than Swedes or uh I mean Greeks and New Zealanders?,Who lives no longer on average than Greeks and New Zealanders?
"Along with tuition, scholarships, vouchers, donations and grants, where does funding for private schools come from?","Along with tuition, scholarships, vouchers, donations and grants, where does private school tuition or rather private school funding come from?","Along with tuition, scholarships, vouchers, donations and grants, where does private school funding come from?"
"Besides constant flooding, why else was there regulation of the Rhine?","Where is the upper, ah no, besides constant flooding, why else was there regulation of the Rhine?","Besides constant flooding, why else was there regulation of the Rhine?"
What does ocean water do to luminescence from certain animals?,What are the secretions commonly called no sorry tell me what does ocean water do to luminescence from certain sea life?,What does ocean water do to luminescence from certain animals?
How many US Presidents once campaigned in Cambridge?,Which or no make that how many US President once campaigned in Cambridge?,How many US Presidents once campaigned in Cambridge?
What is the standard of living for most families in Kathmandu?,What is the government no the standard of living for most families in Kathmandu?,What is the standard of living for most families in Kathmandu?
What Microsoft CEO is also an alumni of the University of Chicago?,What Microsoft chairman rather CEO is also an alumni of the University of Chicago?,What Microsoft CEO is also an alumni of the University of Chicago?
"Since electrons are minions, they cannot occupy the same what?","Since electrons are macroscopic no um minions, they cannot occupy the same what?","Since electrons are minions, they cannot occupy the same what?"
Who decreased British military resources in colonies?,What no who decreased British military resources in colonies?,Who decreased British military resources in colonies?
Newton's Fifth Law means that only some forces are interactions between whom?,"When forces are, no let's go with; Newton's Fifth Law means that only some forces are interactions between whom?",Newton's Fifth Law means that only some forces are interactions between whom?
Where are some of the best schools in East-Central Europe located?,Where are some of the best medical facilities in East-Central Europe located or rather the best schools?,Where are some of the best schools in East-Central Europe located?
What did tax collectors try to prevent from being installed in the Temple?,What did Jews I mean tax collectors try to prevent from being installed in the Temple?,What did tax collectors try to prevent from being installed in the Temple?
What does Vriscovci mean in Polish?,"What does Warszawa, sorry, Vriscovci mean in Polish?",What does Vriscovci mean in Polish?
What did salmon used to be regarded as in marine food chains?,Where did or no make that what did salmon used to be regarded as in marine food chains?,What did salmon used to be regarded as in marine food chains?
What building from the 19th century was destroyed between the 1950s and 1960s?,What building from the 19th century was a mixture of architectural styles what now destroyed between the 1950s and 1960s?,What building from the 19th century was destroyed between the 1950s and 1960s?
What type of venue is the Teatr Wielki?,The Autumn Wielki is I mean which type of venue is the Teatr Wielki?,Which type of venue is the Teatr Wielki?
At what building do Olympic athletes train?,How many no At what building do Olympic athletes train?,At what building do Olympic athletes train?
What do high levels of inequality  prevent beyond economic prosperity?,Why do high levels no actually uh what do high levels of inequality prevent beyond economic prosperity?,What do high levels of inequality prevent beyond economic prosperity?
What was the projection of sea level increases in the forth assessment report?,What was the projection of sea level did the IPCC understate no increases in the fourth assessment report?,What was the projection of sea level increases in the fourth assessment report?
Sinback worked with what college on a time-sharing system?,Sinback worked with what data network no um college on a time-sharing system?,Sinback worked with what college on a time-sharing system?
What food upsets the balance of microbial populations?,What food upsets the balance of antibiotic no microbial populations?,What food upsets the balance of microbial populations?
What does the capabilities approach look at poverty as a form of?,How does or no make that what does the capabilities approach look at poverty as a form of?,What does the capabilities approach look at poverty as a form of?
When was the RSO Nations team the top ranked in North America?,How was the no make that when was the RSO Nations teams the top ranked in North America?,When was the RSO Nations teams the top ranked in North America?
How many focuses where there in report P-2626?,How was forward switching achieved or rather how many focuses were there in the P-2626 report?,How many focuses were there in the P-2626 report?
What tends to lead to more money?,What conditions sorry what tends to lead to more money?,What tends to lead to more money?
"Besides 1,3 and 7, what other number must all primes greater than 5 end with?","Besides 1,3 and 7, what other number must all distinct divisors greater than 5 end with no correction what other number must all primes greater than 5 end with?","Besides 1,3 and 7, what other number must all primes greater than 5 end with?"
What is a common occurrence during summer days?,What is a common temperature no no occurrence during summer days?,What is a common occurrence during summer days?
What did the concept hope to achieve?,What did the contrast no the concept hope to achieve?,What did the concept hope to achieve?
 the US expansion Westward could be viewed as what type of non-colonialism?,the African umm rather US expansion Westward could be viewed as what type of non-colonialism?,The US expansion Westward could be viewed as what type of non-colonialism?
Who donated a half billion dollars to the university's Booth School of Business?,Who's institute did the University of Chicago announce plans for establishing this institution no no just tell me who donated a half billion dollars to the university's Booth School of Business?,Who donated a half billion dollars to the university's Booth School of Business?
"How many reconstructions covered more than 10,000 years?","How were or no make that how many reconstructions covered more than 10,000 years?","How many reconstructions covered more than 10,000 years?"
"Besides rivers, what shapes the sedimentation of the rivers?","What type no Besides rivers, what shapes the sedimentation of the rivers?","Besides rivers, what shapes the sedimentation of the rivers?"
What cells are unable to remember specific pathogens?,Why are no what cells are unable to remember specific pathogens?,What cells are unable to remember specific pathogens?
What organization has stopped being a major disruptive force in Palestine?,"What organization has continued, nope scratch that, stopped being a major disruptive force in Palestine?",What organization has stopped being a major disruptive force in Palestine?
How quickly do plankton populations grow due to hermaphrodism and early reproduction?,What or no make that how quickly do plankton populations grow due to hermaphrodism and early reproduction?,How quickly do plankton populations grow due to hermaphrodism and early reproduction?
Can packets ever collide in route?,Can address information be changed after the set-up phase no sorry I want to know if packets ever collide in route?,Can packets ever collide in route?
How are public schools funded?,How are post-secondary no no I mean public schools funded?,How are public schools funded?
What did Thoreau claim about the majority?,Who did or like what did Thoreau claim about the majority?,What did Thoreau claim about the majority?
"In 1940, what percentage of the population in Fresno was Asian?","In 1942, no in 1940 what percentage of Fresno was made up of Asians?",In 1940 what percentage of Asians was made up of Asians?
What do the membership of the committees reflect?,What do the governing no the membership of the committees reflect?,What do the membership of the committees reflect?
What does the Atlantic Ocean flow into?,Where does the Atlantic Ocean flow into?,Where does the Atlantic Ocean flow into?
Did Davies develop his concept with the intention of monetizing it?,Did Baran oopsie Davies develop his concept with the intention of monetizing it?,Did Davies develop his concept with the intention of monetizing it?
What famous conductor went to Harvard?,Who is no what famous conductor went to Harvard?,What famous conductor went to Harvard?
What path changes the direction of an object?,What path changes the force umm rather direction of an object?,What path changes the direction of an object?
WHat did foreign clones of DATAPAC allow for ,"What did x.25 host allow for, wiat my bad, foreign clones of DATAPAC?",What did foreign clones of DATAPAC allow for?
What was the English name of Gou's calendar?,"What was the English name of Shoushi Li's calendar, I'm sorry I meant Gou's?",What was the English name of Gou's calendar?
What is the Royal Castle the most interesting example of?,When was um no what is the Royal Castle the most interesting example of?,What is the Royal Castle the most interesting example of?
Where is the oldest known rock in the world located?,Where is the oldest known sedimentary sequence or rather rock in the world located?,Where is the oldest known rock in the world located?
Final proposals for a Scottish Assembly were passed by the United States Parliament in what year?,Final proposals for a United Kingdom or make that a Scottish assembly were passed by the United States Parliament in what year?,Final proposals for a Scottish Assembly were passed by the United States Parliament in what year?
What type of fossils were found in China?,What type of feeding mechanism no wait no fossils were found in China?,What type of fossils were found in China?
How do you avoid problems when determining forces involved on an object from two or more sources?,How do you avoid problems when determining forces involved on an object in a push and pull no not that I mean from two or more sources?,How do you avoid problems when determining forces involved on an object from two or more sources?
Are most ctenophores the same or a different color?,Are most vexilligera the same or no um are ctenophores the same or different color?,Are most ctenophores the same or a different color?
Who made the first to measure value of the Newton Universal Gravitation Constant?,What made or no rather who made the first measure value of the Newton Universal Gravitation Constant?,Who made the first measure value of the Newton Universal Gravitation Constant?
What policy gave Britain dominance in world trade?,What policy gave American erm sorry Britain dominance in world trade?,What policy gave Britain dominance in world trade?
What is the purpose of the ASER?,What does poor or what is the purpose of the ASER?,What is the purpose of the ASER?
Who else besides Genoa traded with Kaffa?,Who else besides Genoa traded with Europe or no make that with Kaffa?,Who else besides Genoa traded with Kaffa?
Where did the Rhine occupy during the Holocene?,When did the no wait where did the Rhine occupy during the Holocene?,Where did the Rhine occupy during the Holocene?
Dendritic cells present antigens to what cells of the adaptive nervous system?,Dendritic cells contact no no present antigens to what cells of the adaptive nervous system?,Dendritic cells present antigens to what cells of the adaptive nervous system?
What is another term for university-preparatory schools?,What is another term for university-preparatory academies or rather schools?,What is another term for university-preparatory schools?
What goal does Islamism have when it comes to society and government?,What strategy or what is the purpose of Islamism in relation to society and government?,What is the purpose of Islamism in relation to society and government?
How were British able to cut supplies to Louisbourg?,How were British able to cut supplies to the Bay of Fundy oh I mean Louisbourg?,How were British able to cut supplies to Louisbourg?
What are the two major subtypes of T cells?,What are the two major subtypes of antigens no um T cells?,What are the two major subtypes of T cells?
Which council's investigation found no statistical failings?,Who were the no make that which council's investigation found no statistical failings?,Which council's investigation found no statistical failings?
What are colonial powers blamed for?,#VALUE!,What is the name of the Apple system? 
Are California Bungalows located in the north or east?,#VALUE!,What is the name of the Apple system? 
How long does it take for the effects to manifest as changes to economic growth?,Where would no how long does it take for the effects to manifest as changes to economic growth?,How long does it take for the effects to manifest as changes to economic growth?
Who set up what became the Second Warsaw Republic?,What capital no what set up became the Second Warsaw Republic?,What set up became the Second Warsaw Republic?
What wasn't the goal of Braddock's expedition?,When didn't er what wasn't the goal of Braddock's expedition?,What wasn't the goal of Braddock's expedition?
What bridge did the Germans fail to demolish?,"What was the, no how about, what bridge did the Germans fail to demolish?",What bridge did the Germans fail to demolish?
When was a study published confirming the 2001 IPCC projections?,When was a study published confirming the 2007 I mean 2001 IPCC projections?,When was a study published confirming the 2001 IPCC projections?
What kind of disorders occur when part of the immune system isn't active?,What kind of immunodeficiencies no disorders occur when part of the immune system isn't active?,What kind of disorders occur when part of the immune system isn't active?
How is circuit switching allocated ,How is Packet switching allocated no sorry Circuit Switching?,How is Circuit Switching allocated?
How did RAND use this network?,How are Air force messages delivered or rather tell me how RAND used this network?,How did RAND use this network?
What is the term that describes the difference between what higher paid and lower paid professionals earn?,What is the phrase for the oops no I meant the term that describes the difference between what higher paid and lower paid professionals earn?,What is the term that describes the difference between what higher paid and lower paid professionals earn?
Where in Central Asia did the Han Chinese move?,Where in Eastern Asia sorry no Central Asia did the Han Chinese move?,Where did the Han Chinese move?
 When did Great Britain colonize outside of Australia?,When did Great Britain colonize Australia or rather when did it colonize outside of Australia?,When did Great Britain colonize outside of Australia?
What do the three richest people in the world posses more of than the lowest 48 nations together?,How do the or actually what do the three richest people in the world posses more of than the lowest 48 nations together?,What do the three richest people in the world posses more of than the lowest 48 nations together?
Primitive jawless vertebrates possess an array of receptors referred to as what?,Primitive jawless possess an array of genes I mean an array of receptors referred to as what?,Primitive jawless possess an array of receptors referred to as what?
When did the Netherlands begin to occupy the Late-Glacial valley?,When did the Rhine no the Netherlands begin to occupy the Late-Glacial valley?,When did the Netherlands begin to occupy the Late-Glacial valley?
Which graph was supported by McIntyre and McKitrick?,On what date sorry Which graph was supported by McIntyre and McKitrick?,Which graph was supported by McIntyre and McKitrick?
"If a Constituency MSP is forced from Parliament, what does it trigger?",What is the number of Constituency MSPs no sorry what is triggered when a Constituency MSP is forced from Parliament?,What is triggered when a Constituency MSP is forced from Parliament?
Brownlee argues that sometimes people behave in what way to have their issue heard?,What goal or instead what does Brownlee argues that sometimes people behave in what way to have their issue heard?,Brownlee argues that sometimes people behave in what way to have their issue heard?
Where is the mouth located on an Aboral?,What is the or no rather where is the mouth located on Aboral?,Where is the mouth located on Aboral?
How far apart are some of the neighborhood's features?,How far are they hmm how much apart are some of the neighborhood's features?,How far apart are some of the neighborhood's features?
How old are the fossils found that represent ctenophhores ?,How many no old are the fossils found that represent ctenophhores?,How old are the fossils found that represent ctenophhores?
What happened to the Bank of Italy Building?,What happened to the Pacific Southwest Building or no make that the Bank of Italy Building?,What happened to the Bank of Italy Building?
How old are the gravestones that reference the plague?,In what year did or instead how old are the gravestones that reference the plague?,How old are the gravestones that reference the plague?
Why is the current sea level rising?,Why is the tectonic subsidence no the current sea level rising?,Why is the current sea level rising?
When did Washington reach Fort Le Boeuf?,When did he specifically Washington reach Fort Le Boeuf?,When did Washington reach Fort Le Boeuf?
What was Jacksonville referred to before the consolidation?,"What was Jacksonville referred to before the plan, no, consolidation?",What was Jacksonville referred to before the consolidation?
Where is the Rhine? ,What country er uh where is the Rhine?,Where is the Rhine?
When did Zhu publish 'Jade Mirror of the Four Unknowns'?,When did Pascal's no Zhu publish 'Jade Mirror of the Four Unknowns'?,When did Zhu publish 'Jade Mirror of the Four Unknowns'?
How long might a speaker address the members during the Time of Reflection?,How are invitations to address Parliament determined no sorry how long might a speaker address the members during the Time of Reflection?,How long might a speaker address the members during the Time of Reflection?
Conservative Islam classifies Muslims who follow Shia interpretation as what?,Conservative Islam determines or umm classifies Muslims who follow Shia interpretation as what?,Conservative Islam classifies Muslims who follow Shia interpretation as what?
When was the first Roman war?,When did the assignment of legions include two legions at Vetera (Xanten) no sorry tell me when was the first Roman war?,When was the first Roman war?
What is the seating arrangement of the debating chamber?,What is the consensus amongst or uh what is the seating arrangement of the debating chamber?,What is the seating arrangement of the debating chamber?
How did the network deliver the data?,How did the network what was a first for it no deliver the data?,How did the network deliver the data?
Where does HAMAS want to establish an Islamic state?,How does no I mean where does Hamas want to establish an Islamic state?,Where does Hamas want to establish an Islamic state?
When did the second edition of Gasquet's book come out?,When did the first edition of Gasquet's book come out or I guess the second edition?,When did the second edition of Gasquet's book come out?
What do some government officials give in response to illegal actions?,What is provided by the government officers following a crime I mean to illegal actions?,What is provided by the government officers following a crime?
What do the vesticles on tentilla contain?,What do the ctenophores um vesticles on tentilla contain?,What do the vesticles on tentilla contain?
What do new homes comprise the majority of?,How do no make that what do new homes comprise the majority of?,What do new homes comprise the majority of?
According to 1 million contractors  what was the annual revenue in 2014?,What was the unemployment rate as of 2011 or rather what was the annual revenue in 2014 according the 1 million contractors?,What was the annual revenue in 2014 according to 1 million contractors?
How much do researchers now think sea levels will rise from 1990 to 2100?,How much do researchers now think sea levels will rise from 1990 to 1990 no 2100?,How much do researchers now think sea levels will rise from 1990 to 2100?
In what year did the Black Death spread into Iceland?,In what year did the Black Death spread into France umm rather Iceland?,In what year did the Black Death spread into Iceland?
